"from" "to"
"1" 1 2
"2" 1 3
"3" 1 4
"4" 1 5
"5" 1 6
"6" 5 30
"7" 5 77
"8" 5 78
"9" 5 79
"10" 5 80
"11" 7 8
"12" 7 48
"13" 7 49
"14" 7 53
"15" 7 54
"16" 7 55
"17" 9 10
"18" 9 11
"19" 9 12
"20" 9 13
"21" 9 14
"22" 15 16
"23" 15 17
"24" 15 18
"25" 15 19
"26" 15 20
"27" 21 22
"28" 21 23
"29" 21 24
"30" 21 25
"31" 21 26
"32" 27 28
"33" 27 29
"34" 27 30
"35" 27 31
"36" 27 32
"37" 33 29
"38" 33 34
"39" 33 35
"40" 33 36
"41" 33 37
"42" 38 5
"43" 38 30
"44" 38 39
"45" 38 40
"46" 38 41
"47" 42 43
"48" 42 44
"49" 42 45
"50" 42 46
"51" 42 47
"52" 48 7
"53" 48 49
"54" 48 50
"55" 48 51
"56" 48 52
"57" 56 57
"58" 56 58
"59" 56 59
"60" 56 60
"61" 56 61
"62" 62 63
"63" 62 64
"64" 62 65
"65" 62 66
"66" 62 67
"67" 68 30
"68" 68 39
"69" 68 69
"70" 68 70
"71" 71 72
"72" 71 73
"73" 71 74
"74" 71 75
"75" 71 76
